kwic_id;doc_id;doc_token_id;doc_file_name;token_count;hit_size;S1;S2;S3;L20;L19;L18;L17;L16;L15;L14;L13;L12;L11;L10;L9;L8;L7;L6;L5;L4;L3;L2;L1;R0;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;Annotation;"Brief vor oder nach ""Brief""";
88;0;537415;random_sample_d_prose_clean_text.txt;1288335;1;20;2;1;Pflichterfüllung ;niemals ;an ;mich ;herangetreten ;ist ;und ;daß ;ich ;sterben ;darf ;ohne ;Progenitur!« 10;Vier ;Wochen ;nach ;Weberleins ;Abreise ;erschien ;ein ;Brief ;von ;ihm ;aus ;Arad. ;Er ;meldete ;darin, ;daß ;es ;ihm ;noch ;nicht ;gelungen ;sei, ;eine ;Spur ;von ;denen, ;die ;Zusammengefasst;;
180;0;921367;random_sample_d_prose_clean_text.txt;1288335;1;20;2;1;abzuholen ;und ;beim ;dortigen ;Gerichte ;die ;Erbansprüche ;von ;Prannes ;geltend ;zu ;machen. ;Aber ;der ;wackere ;Freund ;konnte ;nichts ;"ausrichten; ";ein ;Brief ;von ;ihm ;setzte ;Prannes ;in ;Kenntnis, ;daß ;er ;zwar ;mit ;leeren ;Taschen, ;aber ;mit ;einem ;bildschönen ;und ;braven ;Mädchen ;Zusammengefasst;;
156;0;782034;random_sample_d_prose_clean_text.txt;1288335;1;20;2;1;sich ;ins ;Stadthaus ;hatte ;bringen ;lassen, ;um ;sie ;dort ;nochmals ;zu ;überreden, ;ihn ;zu ;heiraten. ;Denn ;er ;mußte ;heute ;den ;Brief ;von ;ihr ;erhalten ;haben, ;worin ;sie ;ihm ;endgültig ;die ;Verlobung ;absagte. ;Vielleicht ;hatte ;seine ;Wut ;und ;seine ;Ohnmacht ;den ;Zusammengefasst;;
112;0;618167;random_sample_d_prose_clean_text.txt;1288335;1;20;2;1;noch ;im ;Südwesten ;saßen, ;ab. ;Soviel ;vermochte ;das ;Lächeln ;einer ;Griechin, ;die ;der ;Aphrodite ;glich, ;in ;jenen ;beneidenswerten ;Zeiten. ;Ein ;Brief ;von ;ihr ;erreichte ;den ;"Dionys; ";darin ;stand: »;Ich ;habe ;nicht ;nur ;den ;Philoxenos ;gerettet (;denn ;Philoxenos ;ist ;bei ;"mir); ";Brief;danach;
196;0;1122251;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;allem ;war ;das ;Verhalten ;des ;Polen, ;wenn ;auch ;nicht ;gerade ;aufdringlich, ;so ;doch ;merkwürdig. ;Am ;nächsten ;Morgen ;bekam ;Irene ;einen ;Brief ;von ;Julia. ;Die ;Rechtschreibung ;war ;nicht ;einwandfrei, ;aber ;der ;Inhalt ;war ;erheiternd. ;Liebes ;Irenchen! ;Ach, ;was ;bin ;ich ;nachträglich ;Brief;danach;
165;0;829809;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;sie ;dazu ;aufgefordert ;hatte, ;folgende ;Mittheilung ;machte: ;Als ;sie ;Henriette ;heute ;Nachmittag ;zu ;Seine ;Hochwürden ;in';s ;Dorf ;gebracht, ;den ;Brief ;von ;Madame ;la ;Supérieure ;abgegeben, ;und ;das ;Haus ;schon ;wieder ;verlassen, ;hätten ;sich ;mehrere ;Personen ;aus ;dem ;Dorf ;um ;Kontext;;
90;0;537831;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;zu ;verstehen, ;daß ;sie ;sich ;verletzt ;fühle ;und ;gehofft ;habe, ;ihrem ;Vater ;mehr ;zu ;sein. ;Um ;Neujahr ;erhielt ;Schimmelreiter ;einen ;Brief ;von ;Mansuet ;aus ;Klausenberg. ;Dort ;war ;Weberlein ;vier ;Wochen ;lang ;krank ;gelegen, ;hatte ;aber ;trotzdem »;keine ;Minute« ;den ;Zweck ;Kontext;;
120;0;673274;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;Eindruck ;bei. ;Ich ;könnte ;es ;mir ;sehr ;hübsch ;denken, ;solch ;einen ;Bruder ;zu ;haben. ;Den 13.;Juli. ;Eben ;habe ;ich ;einen ;Brief ;von ;Nora ;erhalten ;und ;muß ;zu ;Dir ;eilen, ;geliebte ;Mama, ;um ;Dir ;davon ;zu ;erzählen. ;Ich ;bin ;ganz ;erfüllt ;Objekt;;
154;0;780810;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;sehnsüchtig ;auf ;den ;Ruf ;der ;Verkäuferin ;wartend: ;Tomales ;caliente, ;con ;carne, ;con ;dulce, ;eheee! ;Ich ;sehnte ;mich ;nach ;dem ;letzten ;Brief ;von ;"Orla; ";denn ;morgen ;würde ;sie ;ja ;selbst ;kommen. ;In ;solchen ;Gedanken ;kam ;ich ;bei ;der ;Glorieta ;an, ;wo ;Objekt;;
157;0;795709;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;sowohl ;als ;ich ;selbst, ;daß ;eine ;schleunige ;Abreise ;mir ;gesundheitlich ;nur ;von ;Vorteil ;sein ;könnte. ;Ich ;fand ;aber ;noch ;einen ;Brief ;von ;Orlas ;Mutter ;vor, ;die ;mich ;bat, ;nach ;Tlalpam ;zu ;kommen: ;sie ;hätte ;eine ;große ;Sehnsucht, ;mit ;mir ;von ;Zusammengefasst;;
174;0;862550;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;und ;überaus ;mächtigen ;Reiches ;nicht ;würdig, ;nach ;außen ;so ;stark, ;nach ;innen ;so ;schwach ;zu ;sein. ;Der ;Narr ;rezitierte ;diesen ;Brief, ;von ;Reiswein ;und ;edler ;Gesinnung ;trunken, ;seinen ;Freunden ;eines ;Sonn – ;Abends, ;worauf ;er ;ihn ;mit ;einem ;reitenden ;Boten ;nach ;Objekt;;
10;0;177068;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;Familie ;benachrichtigte – ;eins ;um ;das ;andere: ;Zustand ;hoffnungslos – ;Zustand ;unverändert – ;Nicht ;kommen – ;und ;so ;fort. ;An ;demselben ;Morgen ;kam ;ein ;Brief ;von ;dem ;Manne, ;um ;dessentwillen ;ich ;mit ;den ;Meinen ;gebrochen ;hatte. ;Ich ;konnte ;ihn ;kaum ;lesen, ;und ;er ;war ;Kontext;;
4;0;149362;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;hübsche ;Kinderfräulein ;gezwungen ;lächelnd. »;Und ;nun ;gar ;am ;Herz! ;Ich ;bin ;doch ;mit';m ;Wegmann ;verlobt. – ;Da ;hab' ;ich ;einen ;Brief ;von ;der ;Frau ;Gräfin ;an ;Sie. ;Ich ;soll ;auf ;Antwort ;warten.« »;So – ;dann ;geben ;Sie ;her.« ;Er ;bezwang ;seine ;Zusammengefasst;;
189;0;1101201;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;so ;herab, ;daß ;der ;Arzt ;ihn ;zur ;Nervenstärkung ;ins ;Bad ;schickte. ;Drei ;Wochen ;war ;er ;dort, ;da ;bekam ;ich ;einen ;Brief ;von ;ihm, ;wißt ;ihr, ;so ;einen, ;den ;man ;meint ;nur ;mit ;der ;Feuerzange ;anrühren ;zu ;können, ;so ;einen, ;bei ;Kontext;;
197;0;1131156;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;Nichts!« »;Leb' ;wohl, ;Vater, ;vergiß, ;daß ;du ;eine ;Tochter ;hast!« ;Sie ;ging. * ;Während ;Irene ;einige ;Koffer ;packte, ;erhielt ;sie ;einen ;Brief ;von ;ihrem ;Vater. »;Das ;ist ;das ;Verzeichnis ;der ;Wertpapiere, ;die ;ich ;von ;Frau ;Geheimrat ;Bruckner ;erhalten ;habe. ;Der ;Kurszettel ;Brief;danach;
11;0;192007;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;damals ;und ;ich. ;Mir ;ist, ;als ;müßte ;ich ;seither ;die ;Seele ;gewechselt ;haben. ;XI. ;Am ;nächsten ;Tag ;erhielt ;ich ;einen ;Brief ;von ;meinem ;Bruder ;Boris. ;Im ;ersten ;Moment ;erkannte ;ich ;seine ;Schrift ;nicht. ;Sie ;war ;steif ;und ;verschnörkelt ;und ;an ;Kontext;;
15;0;192822;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;die ;Erinnerung ;zu ;bannen, ;reizte ;ich ;sie – ;mein ;ganzes ;Sein ;strebte ;in ;die ;Vergangenheit ;zurück. – ;Da ;bringt ;mein ;Diener ;einen ;Brief ;von ;meiner ;Tante. ;Sie ;meldet ;mir ;ihre ;Ankunft, ;bittet ;mich ;für ;den ;Abend ;zum ;Thee ;und ;berührt ;die ;rohen ;Zusammengefasst;;
29;0;223967;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;langsam ;sehr ;rot. ;Das ;war ;ihr ;ebenso ;überraschend ;wie ;unangenehm. ;Warum ;erröten, ;wenn ;man ;unter ;dem ;mit ;lila ;Schreibmaschinenschrift ;geschriebenen ;Brief ;von ;schwarzer ;Tinte ;die ;sehr ;großen, ;in ;schöner ;Ebenmäßigkeit ;ohne ;jeden ;Schnörkel ;hingesetzten ;Namen ;las? ;So ;viel ;einfache ;Kraft ;Kontext;;
77;0;531626;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;der ;Hedschra«. ;Etwa ;anderthalb ;Jahre, ;nachdem ;Rosa ;und ;Božena ;das ;alte ;Haus ;verlassen ;hatten, ;in ;der ;Lichtmeßwoche, ;erhielt ;Mansuet ;einen ;Brief ;von ;seiner ;Freundin ;aus ;einem ;Dorfe ;in ;der ;Nähe ;von ;Arad. ;Sie ;schrieb, ;daß ;Rosa ;ein ;zartes ;Mädchen ;zur ;Zusammengefasst;;
80;0;531888;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;Brust. ;Heißenstein ;konnte ;sich ;eines ;Lächelns ;nicht ;erwehren ;und ;fragte: »;Was ;haben ;Sie ;denn?« »;Einen ;Brief!« ;platzte ;Mansuet ;heraus, »;einen ;Brief ;von ;unserer ;Rosa!« ;wiederholte ;er, ;fast ;weinend – ;und ;hielt ;seinem ;Herrn ;das ;Zettelchen ;hin. ;Heißenstein ;war ;bleich ;geworden ;bis ;Objekt;;
175;0;862618;random_sample_d_prose_clean_text.txt;1288335;1;14;4;1;Ideen ;ruchbar ;werden ;zu ;lassen. ;Der ;Narr ;liebte ;sein ;Vaterland ;sehr. ;Die ;Liebe ;zu ;ihm ;hatte ;ihm ;den ;Pinsel ;zum ;Brief ;in ;die ;Hand ;gedrückt ;und ;das ;Kästchen ;mit ;schwarzer ;Tusche. ;Aber ;seine ;wahrhaft ;unschuldig ;getane ;Tat ;wurde ;ihm ;von ;Objekt;;
86;0;535624;random_sample_d_prose_clean_text.txt;1288335;1;14;4;1;das ;seiner ;Hand ;entglitten, ;das ;auf ;den ;Tisch ;gefallen ;ist, ;bedeckt ;er ;vorsichtig ;mit ;seinem ;Taschentuche. ;Dabei ;kommt ;ihm ;der ;Brief ;in ;die ;Hand, ;den ;er ;achtlos ;beiseite ;geworfen ;hatte. ;Er ;betrachtet ;ihn ;einen ;Augenblick –;ein ;sonderbarer ;Umstand ;fällt ;ihm ;Objekt;;
167;0;851971;random_sample_d_prose_clean_text.txt;1288335;1;14;4;1;sofort ;zu ;vollstrecken, ;wegen ;Mordes ;an ;einem ;Adligen ;und ;Beleidigung ;der ;Majestät. ;Bracke ;pfiff ;zwischen ;die ;Zähne. ;Er ;warf ;den ;Brief ;in ;die ;Spree ;und ;ging ;in ;den »;Bernauischen ;Keller«, ;einen ;Schoppen ;zu ;genehmigen. ;Am ;siebenten ;Tag ;darauf ;ritt ;der ;Objekt;;
74;0;528903;random_sample_d_prose_clean_text.txt;1288335;1;14;4;1;auf ;der ;Treppe ;vernehmen ;ließ, ;störte ;den ;Jäger ;auf ;das ;angenehmste ;in ;seiner ;verdrießlichen ;Tätigkeit. ;Rasch ;warf ;er ;den ;angefangenen ;Brief ;in ;die ;Tischlade, ;sprang ;auf ;und ;begrüßte ;das ;hochgewachsene ;Weib, ;das ;jetzt ;über ;die ;Schwelle ;trat, ;mit ;den ;jubelnden ;Objekt;;
58;0;374617;random_sample_d_prose_clean_text.txt;1288335;1;14;3;2;sich ;hinein. ;Dann, ;nachdem ;der ;Krampf ;des ;Schmerzes ;sich ;gelöst ;hatte, ;nahm ;er ;ein ;Blatt ;und ;schrieb ;hastig ;einen ;langen ;Brief, ;in ;dem ;er ;sein ;ganzes ;Herz ;ausschüttete, ;alles, ;was ;er ;in ;diesem ;langen ;Jahr ;gelitten ;hatte, ;und ;sich ;leidenschaftlich ;Zusammengefasst;;
113;0;635491;random_sample_d_prose_clean_text.txt;1288335;1;14;3;2;lange ;es ;mir ;möglich ;war. ;Aber ;er ;entdeckte ;sie ;sehr ;bald, ;ich ;erkannte ;es ;schon ;aus ;einer ;Bemerkung ;in ;einem ;Brief, ;in ;dem ;er ;mir ;seinen ;Besuch ;für ;die ;Weihnachtsfeiertage ;in ;Aussicht ;stellte. ;Er ;schrieb ;dort: »;Die ;Welt ;ist ;schlecht ;Zusammengefasst;;
12;0;192209;random_sample_d_prose_clean_text.txt;1288335;1;14;3;1;besuchen ;wollte, ;baldigst ;zu ;folgen ;versprach. ;Ich ;kam ;nach ;Baden, ;fand ;aber ;weder ;meinen ;Bruder ;noch ;einen ;seine ;Abwesenheit ;erklärenden ;Brief ;in ;dem ;von ;ihm ;bestimmten ;Hotel. ;Mich ;unsäglich ;langweilend, ;wartete ;ich ;einen . . . ;zwei ;Tage. ;Der ;dritte ;Tag ;naht ;seinem ;Objekt;;
40;0;268045;random_sample_d_prose_clean_text.txt;1288335;1;14;2;1;Einliegend ;Probe ;ohne ;Wert – ;Er ;wollte ;keine ;Einschreibsendung ;machen, ;und ;diese ;Aufschrift ;schien ;einen ;gleichgültigen ;Inhalt ;vorzutäuschen. ;Ehe ;er ;den ;Brief ;in ;den ;Briefkasten ;warf, ;las ;er ;noch ;einmal ;mit ;einem ;sonderbaren ;Lächeln ;die ;Worte: ;Probe ;ohne ;Wert … ;XI ;Es ;Objekt;;
128;0;711890;random_sample_d_prose_clean_text.txt;1288335;1;14;2;1;an ;meine ;bayerische ;Heimat ;erinnere. ;Dann ;fuhren ;"wir; ";und ;unterwegs ;am ;Dorfende ;stieg ;sie ;einen ;Augenblick ;aus ;und ;warf ;ihren ;Brief ;in ;den ;Kasten. ;Es ;war, ;als ;habe ;sie ;mit ;diesem ;Brief ;eine ;Last ;von ;sich ;abgeworfen. ;Sie ;atmete ;auf ;Objekt;;
160;0;801231;random_sample_d_prose_clean_text.txt;1288335;1;14;2;1;die ;Plaza. ;Ich ;sah ;dort ;einen ;kleineren ;Trupp ;Soldaten. ;Ich ;begriff ;nicht, ;was ;der ;Mexikaner ;meinte, ;der ;da ;mit ;einem ;Brief ;in ;der ;Hand ;nicht ;in ;das ;Posthaus ;trat, ;sondern ;auf ;die ;Soldaten ;deutete. »;Warten ;Sie ;nur, ;Sie ;werden ;etwas ;Objekt;;
38;0;267859;random_sample_d_prose_clean_text.txt;1288335;1;14;2;1;aber ;liebt ;Stille, ;und ;unter ;der ;lärmlosen ;Glätte ;kann ;die ;Reue ;zusehen, ;wie ;sie ;sich ;unterduckt … ;Er ;ging, ;den ;versiegelten ;Brief ;in ;der ;Tasche, ;um ;Therese ;zu ;suchen. ;Er ;wollte ;ihr ;sagen: »;Ich ;habe ;dir ;den ;kleinen ;Schrank ;geöffnet.« ;Ferner: »;Objekt;;
51;0;305084;random_sample_d_prose_clean_text.txt;1288335;1;14;1;1;Richtung ;nach ;dem ;schmal ;auslaufenden ;Ende ;der ;Insel, ;auf ;dem ;er ;Anna ;noch ;vermuten ;durfte, ;Anna, ;die ;jetzt ;vielleicht ;seinen ;Brief ;in ;Händen ;hielt. ;Dann ;schlug ;er ;den ;Weg ;in ;die ;Stadt ;zurück ;ein. ;Dabei ;kam ;ihm ;allerhand ;in ;den ;Objekt;;
139;0;743710;random_sample_d_prose_clean_text.txt;1288335;1;14;1;1;zu ;sprechen. ;Die ;Dame ;bat ;mich ;zugleich, ;in ;diesem ;Brief ;ihre ;Namen ;nicht ;zu ;nennen, ;für ;den ;Fall, ;daß ;der ;Brief ;in ;falsche ;Hände ;gelangen ;sollte. ;Sie ;selbst ;wissen ;ja, ;welche ;Dame ;gemeint ;ist, ;und ;wer ;Sie ;heute ;abend ;auf ;Objekt;;
148;0;776023;random_sample_d_prose_clean_text.txt;1288335;1;14;1;1;aus ;dem ;Grase ;aufzuheben. »;Ehee – –« ;Dann, ;als ;es ;still ;blieb, ;bückte ;ich ;mich, ;pflückte ;eine ;Windenblüte ;und ;ließ ;dabei ;den ;Brief ;in ;meiner ;Hand ;verschwinden. ;Mit ;brennenden ;Wangen, ;als ;ob ;ich ;mich ;über ;ein ;Feuer ;gebeugt ;hätte, ;richtete ;ich ;mich ;Objekt;;
184;0;1006491;random_sample_d_prose_clean_text.txt;1288335;1;13;1;1;hin. ;Nur ;der ;Schönauer ;stand ;regungslos ;und ;hing ;mit ;bangen ;Augen ;am ;Fischer. »;Der ;Öberste ;der ;Klosterleut ;heißt ;Eberwein. ;Nach ;Brief ;und ;Recht, ;durch ;eidfeste ;Schenkung ;hat ;er ;im ;Gaden ;Herrenmacht ;über ;Land ;und ;Leut. ;Dawider ;kann ;nimmer ;Streit ;sich ;Metapher;;
183;0;1005669;random_sample_d_prose_clean_text.txt;1288335;1;13;1;1;die ;Frau ;Adelheid ;auf ;ihrem ;Sterbebett ;getan, ;von ;der ;Ankunft ;der ;Klosterleute, ;von ;ihrem ;Klausenbau ;beim ;Lokistein. »;Sie ;sind ;nach ;Brief ;und ;Siegel ;wohl ;die ;Herren ;im ;Gaden, ;Herr ;Waze ;aber ;sitzt ;auf ;seinem ;festen ;Haus ;und ;hat ;die ;Macht. ;Metapher;;
186;0;1039868;random_sample_d_prose_clean_text.txt;1288335;1;13;1;1;Mürb ;soll ;er ;werden, ;eh ;ich ;raiten ;will ;mit ;ihm. ;Und ;gibt ;er ;mir ;den ;Gaden ;nit ;zu ;Lehen ;mit ;Brief ;und ;Siegel, ;so ;soll ;er –« ;Stöhnend ;drückte ;er ;seinen ;brummenden ;Schädel ;auf ;die ;Bärenhaut. ;Nach ;einer ;Weile ;fiel ;er ;Metapher;;
60;0;374760;random_sample_d_prose_clean_text.txt;1288335;1;13;1;1;ganz ;in ;ihrem ;übermächtigen ;Gefühl ;befangen ;war. ;So ;schrieb ;er ;einen ;zweiten, ;viel ;kürzeren, ;wenn ;auch ;von ;wärmster ;Mittrauer ;erfüllten ;Brief ;und ;bat ;sie ;am ;Schlusse ;nur, ;ihm, ;wenn ;sie ;sich ;ein ;wenig ;beruhigt, ;ihre ;neue ;Wohnung ;anzugeben ;und ;dann ;Zusammengefasst;;
199;0;1132107;random_sample_d_prose_clean_text.txt;1288335;1;13;1;1;geborene ;Grün, ;zwölfhundert ;Dollar ;zugedacht. ;Nähere ;Angaben ;hätte ;Herr ;William ;Green ;nicht ;gemacht, ;auch ;seine ;Adresse ;nicht ;hinterlassen ;wollen. ;Dieser ;Brief ;und ;die ;dazu ;gehörende ;Geldsendung ;kamen ;an ;die ;Brucknersöhne, ;Salzstraße 15,;richtig ;an. ;Jetzt ;hatte ;sie ;noch 5000;Mark. ;Sie ;rechnete ;Objekt;;
130;0;716233;random_sample_d_prose_clean_text.txt;1288335;1;13;1;1;seine ;impulsiven ;Nachbarn. ;Als ;ich ;den ;Eulenkäfig ;auf ;den ;Tisch ;stellte ;und ;endlich ;eine ;Kerze ;anzündete, ;da ;fand ;ich ;einen ;Brief ;und ;ein ;Telegramm ;auf ;dem ;Tisch, ;die ;ich ;vorher ;nicht ;bemerkt ;hatte. ;Der ;Brief ;war ;eine ;längst ;ersehnte ;Antwort ;2Objekt+Zusammengefasst;;
36;0;245137;random_sample_d_prose_clean_text.txt;1288335;1;13;1;1;Und ;gab ;einen ;Brief ;ab ;von ;Senator ;Bording … ;Nicht ;gerade ;ahnungsvoll, ;aber ;doch ;in ;schnell ;aufwallender ;Neugier ;erbrach ;Landskron ;den ;Brief ;und ;las ;ihn, ;im ;Vorgarten ;stehend, ;den ;Stock ;wagrecht ;unter ;den ;linken ;Arm ;gepreßt, ;den ;Hut ;auf ;dem ;Kopf. ;Objekt;;
206;0;1258465;random_sample_d_prose_clean_text.txt;1288335;1;13;1;1;Schaukelstuhl ;geschmiegt ;und ;die ;Füße, ;mit ;roten ;Saffianpantöffelchen ;bekleidet, ;auf ;das ;dicke ;Fell ;eines ;sibirischen ;Wolfes ;gestreckt, ;entfaltete ;Josephine ;den ;Brief ;und ;las. ;Wunderliches ;genug ;stand ;darin. »;Liebste ;Gräfin,« ;schrieb ;Tante ;Renate, »;ich ;halte ;es ;für ;meine ;Pflicht, ;Sie ;über ;Brief;danach;
46;0;303915;random_sample_d_prose_clean_text.txt;1288335;1;13;1;1;langsam, ;jedes ;Wort ;bedächtig ;erwägend. ;Dann ;überlas ;sie ;das ;Geschriebene ;noch ;einmal, ;nickte ;wie ;zustimmend ;mit ;dem ;Kopf, ;schloß ;den ;Brief ;und ;legte ;ihn ;unter ;ihr ;blaugewürfeltes ;Kopfkissen. ;Vorsichtig ;umherschleichend, ;leise ;auftretend, ;als ;ob ;in ;dem ;öden, ;menschenleeren, ;kleinen ;Haus ;Objekt;;
